repeat,outer_fold,overall_fold,estimator,best_params,inner_cv_score,accuracy,balanced_accuracy,f1,f2,precision,recall,sensitivity,specificity,npv,mcc,roc_auc,pr_auc,log_loss
1,4,4,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.9901746197795124,0.9705882352941176,0.9658717105263157,0.96,0.9523809523809523,0.972972972972973,0.9473684210526315,0.9473684210526315,0.984375,0.9692307692307692,0.9369589842087575,0.9905427631578947,0.9870510379428952,0.10830921460484007
1,4,4,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9955741530538343,0.9803921568627451,0.979029605263158,0.9736842105263158,0.9736842105263159,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.984375,0.984375,0.9580592105263158,0.994654605263158,0.9929916897506924,0.07504081120930313
1,4,4,RF,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 75}",0.989175898357519,0.9509803921568627,0.9502467105263157,0.935064935064935,0.9424083769633508,0.9230769230769231,0.9473684210526315,0.9473684210526315,0.953125,0.9682539682539683,0.8959004429201081,0.9950657894736842,0.9924135075450865,0.1066693722476433
1,4,4,LGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 150, 'num_leaves': 31}",0.9904804055685202,0.9607843137254902,0.963404605263158,0.9487179487179487,0.9635416666666666,0.925,0.9736842105263158,0.9736842105263158,0.953125,0.9838709677419355,0.917796265019199,0.9954769736842105,0.9935570479420304,0.14788689573278968
1,5,5,LR_ElasticNet,"{'C': 1, 'l1_ratio': 1}",0.9964968750838228,0.9607843137254902,0.9473684210526316,0.9444444444444444,0.913978494623656,1.0,0.8947368421052632,0.8947368421052632,1.0,0.9411764705882353,0.9176629354822471,0.9691611842105263,0.9741128840200046,0.1806420400465228
1,5,5,GNB,{'var_smoothing': np.float64(0.0001)},0.9865946013608363,0.9215686274509803,0.9054276315789473,0.8888888888888888,0.8602150537634408,0.9411764705882353,0.8421052631578947,0.8421052631578947,0.96875,0.9117647058823529,0.8316320352807864,0.9876644736842105,0.9809318883891862,0.699344103007374
1,5,5,LDA,"{'shrinkage': None, 'solver': 'svd'}",0.9919011471437639,0.9215686274509803,0.8947368421052632,0.8823529411764706,0.8241758241758242,1.0,0.7894736842105263,0.7894736842105263,1.0,0.8888888888888888,0.837707816583391,0.983141447368421,0.9816874388081817,0.2519916401068185
1,5,5,SVM,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9978702288028755,0.9509803921568627,0.9342105263157895,0.9295774647887324,0.8918918918918919,1.0,0.868421052631579,0.868421052631579,1.0,0.927536231884058,0.8974920561468396,0.9835526315789473,0.9865047233468285,0.13004311392292842
1,5,5,RF,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.9902407839560813,0.9411764705882353,0.9317434210526316,0.918918918918919,0.9042553191489363,0.9444444444444444,0.8947368421052632,0.8947368421052632,0.96875,0.9393939393939394,0.873603351065016,0.984375,0.9774167163622884,0.16692338927417588
1,5,5,LGBM,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 150, 'num_leaves': 31}",0.9958870917267957,0.9509803921568627,0.9342105263157895,0.9295774647887324,0.8918918918918919,1.0,0.868421052631579,0.868421052631579,1.0,0.927536231884058,0.8974920561468396,0.983141447368421,0.9813740307645105,0.31148793733393537
